mode,fog,n_trials,n_dangerous,detection_rate,missed_detection_rate,false_alarm_rate,mean_detection_range_m,mean_detection_time_s,mean_warning_lead_time_s,mean_abs_ttc_error_s,availability
lidar,clear,200,85,1.0,0.0,0.08695652173913043,4912.542004241019,2.63294117647059,19.27499999999992,2.451265014895132,1.0
lidar,light,200,73,0.726027397260274,0.273972602739726,0.08661417322834646,891.7097059036513,23.66603773584898,5.24999999999995,21.561255851063557,0.726027397260274
lidar,moderate,200,65,0.13846153846153847,0.8615384615384616,0.23703703703703705,147.65268919817973,29.233333333333217,1.04999999999999,,0.13846153846153847
lidar,dense,200,63,0.0,1.0,0.24087591240875914,,,,,0.0
radar,clear,200,85,1.0,0.0,0.09565217391304348,5350.665085548492,0.36529411764705877,20.47499999999992,9.107309094418872,1.0
radar,light,200,73,1.0,0.0,0.09448818897637795,4730.922520095765,0.22808219178082184,24.899999999999828,4.436656525011553,1.0
radar,moderate,200,65,1.0,0.0,0.07407407407407407,4489.3631903361875,0.2561538461538461,24.749999999999858,7.664188498764883,1.0
radar,dense,200,63,1.0,0.0,0.08759124087591241,4993.908899178608,0.2833333333333334,21.674999999999883,10.083728887512907,1.0
fusion,clear,200,85,1.0,0.0,0.17391304347826086,5359.791459638417,0.31941176470588223,20.47499999999992,6.130581469805888,1.0
fusion,light,200,73,1.0,0.0,0.1968503937007874,4704.082630177599,0.22808219178082184,24.899999999999828,7.317211984701954,1.0
fusion,moderate,200,65,1.0,0.0,0.3037037037037037,4480.757376445229,0.2561538461538461,24.374999999999858,5.4522750721866,1.0
fusion,dense,200,63,1.0,0.0,0.35036496350364965,4963.509398582933,0.2833333333333334,21.599999999999884,9.117301568230461,1.0
